ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCSTRPO23N000001837,장소,문화시설,15176477,정림서점,,,90802,일반서점,4.13E+18,경기도,안산시 단원구,초지동,,742-9,4127310700,4127357000,4.13E+11,원포공원2로,35,126.8133609,37.30174612,다사391227,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003746,장소,문화시설,19497736,정문사,,,90802,일반서점,1.12E+18,서울특별시,광진구,중곡동,,187-23,1121510100,1121576000,1.12E+11,동일로,434,127.0794203,37.56877192,다사628522,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000000635,장소,문화시설,14171403,정문서점,,,90802,일반서점,1.14E+18,서울특별시,서대문구,홍은동,,356-39,1141011800,1141068500,1.14E+11,가좌로,120,126.9255248,37.58322743,다사492539,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000001017,장소,문화시설,14202130,정민도서,,,90802,일반서점,4.42E+18,충청남도,서산시,동문동,,546-8,4421010200,4421052500,4.42E+11,서령로,113,126.4598086,36.79138242,다바071664,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000004340,장소,문화시설,19498804,정보맨서점,,,90802,일반서점,1.14E+18,서울특별시,마포구,서교동,,399-7,1144012000,1144066000,1.14E+11,양화로6길,Jun-57,126.9177415,37.54887349,다사485501,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002659,장소,문화시설,16756836,정부간행물판매센터,,,90802,일반서점,4.51E+18,전라북도,익산시,영등동,,766-4,4514012200,4514064600,4.51E+11,고봉로30길,8,126.9711387,35.95614138,다마523733,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000001686,장소,문화시설,15003194,정안서점,,,90802,일반서점,1.14E+18,서울특별시,노원구,중계동,,154-2,1135010600,1135062400,1.14E+11,덕릉로83길,25,127.0739819,37.6601228,다사624623,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000004825,장소,문화시설,19499357,정연재,,,90802,일반서점,2.62E+18,부산광역시,동구,초량동,,103-14,2617010100,2617053000,2.62E+11,초량상로,118,129.0400604,35.12190138,마라403818,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003329,장소,문화시설,18098664,정왕책문고,,,90802,일반서점,5.01E+18,제주특별자치도,제주시,일도이동,,367-1,5011010200,5011052000,5.01E+11,동광로,122,126.5401732,33.50684098,다다108020,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000001358,장소,문화시설,14651458,정용서점,,,90802,일반서점,4.72E+18,경상북도,안동시,태화동,,209-30,4717012200,4717060000,4.72E+11,광명로,258-1,128.7105825,36.56579674,마바083415,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000000544,장소,문화시설,14106213,정우서점,,,90802,일반서점,5.01E+18,제주특별자치도,서귀포시,서귀동,,280-16,5013010100,5013053000,5.01E+11,동문로,21,126.5635735,33.25143473,다나127737,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000005061,장소,문화시설,19499687,정원책방,,,90802,일반서점,4.15E+18,경기도,용인시 처인구,역북동,,428-13,4146110200,4146152500,4.15E+11,중부대로,1305,127.1899661,37.23622921,다사725153,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000000980,장소,문화시설,14199762,정은도서,,,90802,일반서점,1.16E+18,서울특별시,관악구,봉천동,,852-4,1162010100,1162057500,1.16E+11,남부순환로,1833,126.9538548,37.4811222,다사517425,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000004284,장소,문화시설,19498431,정은서점,,,90802,일반서점,4.12E+18,경기도,부천시,중동,,793-4,4119010800,4119061000,4.12E+11,심중로,37,126.772842,37.48673008,다사357433,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003330,장소,문화시설,18099516,정음이네책방,,,90802,일반서점,1.16E+18,서울특별시,동작구,대방동,,396-23,1159010800,1159066000,1.16E+11,상도로,37,126.9246811,37.50001092,다사491446,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000004891,장소,문화시설,19499440,정의문고,양덕.석전회성고객센터,,90802,일반서점,4.81E+18,경상남도,창원시 마산회원구,양덕동,,16-14,4812710500,4812756000,4.81E+11,양덕북5길,104,128.5851901,35.23172828,라라987934,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002036,장소,문화시설,15424674,정일품서점,,,90802,일반서점,5.18E+18,강원특별자치도,양구군,양구읍,상리,227-5,5180025021,5180025000,5.18E+11,중앙길,28,127.9891463,38.10623988,라아428119,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000004169,장소,문화시설,19498285,정자문고,,,90802,일반서점,3.01E+18,대전광역시,중구,대흥동,,365-18,3014010500,3014057500,3.01E+11,수도산로,13,127.4257312,36.32027849,다바933136,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003581,장소,문화시설,18866100,정철교육,,,90800,N,5.01E+18,제주특별자치도,제주시,삼양일동,,1646-11,5011011300,5011061000,5.01E+11,선사로2길,37,126.5895456,33.52485627,다다154040,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000004934,장소,문화시설,19499489,정치발전소,,,90802,일반서점,4.18E+18,경기도,연천군,전곡읍,전곡리,333-52,4180025321,4180025300,4.18E+11,전곡역로72번길,23,127.071371,38.02333452,다아623026,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000000409,장소,문화시설,13758591,정해당서점,,,90802,일반서점,4.69E+18,전라남도,함평군,함평읍,내교리,200-3,4686025023,4686025000,4.69E+11,서부길,95,126.5204507,35.06277245,다라106746,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000004343,장소,문화시설,19498809,제민문고,강서홈플러스점,,90802,일반서점,1.15E+18,서울특별시,강서구,등촌동,,639-11,1150010200,1150052000,1.15E+11,화곡로,398,126.8548473,37.55850094,다사430512,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000001026,장소,문화시설,14202967,제우교구사,,,90802,일반서점,3.02E+18,대전광역시,서구,도마동,,418-3,3017010300,3017053000,3.02E+11,배재로,209,127.3701991,36.3271408,다바883144,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003845,장소,문화시설,19497853,제이엔,,,90802,일반서점,4.18E+18,경기도,양평군,양평읍,오빈리,118-1,4183025022,4183025000,4.18E+11,덕바위길,3,127.4766482,37.50342106,다사979449,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002876,장소,문화시설,17351716,제일고시서점,,,90802,일반서점,4.17E+18,경기도,포천시,일동면,기산리,91-152,4165037023,4165037000,4.17E+11,기산서길,03월 03일,127.3177001,37.95783759,다사839953,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003703,장소,문화시설,19497686,제일교육사,,,90802,일반서점,1.14E+18,서울특별시,마포구,연남동,,504-1,1144012400,1144071000,1.14E+11,성미산로,112,126.9196436,37.5621275,다사487515,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000000236,장소,문화시설,5972373,제일기독서점,,,90802,일반서점,1.13E+18,서울특별시,중랑구,망우동,,470-11,1126010500,1126065500,1.13E+11,망우로,412,127.0979509,37.59900821,다사645555,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000000731,장소,문화시설,14181112,제일문고,,,90802,일반서점,3.02E+18,대전광역시,서구,관저동,,979-1,3017011600,3017059600,3.02E+11,관저북로,85,127.3367246,36.30947518,다바853124,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000001974,장소,문화시설,15346118,제일복음서원,,,90802,일반서점,4.51E+18,전라북도,전주시 완산구,삼천동1가,,622-6,4511113700,4511170200,4.51E+11,솟대로,27,127.1254846,35.79641846,다마661556,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000004191,장소,문화시설,19498311,제일서림,,,90802,일반서점,2.81E+18,인천광역시,중구,경동,,230-14,2811013400,2811058500,2.81E+11,우현로50번길,43,126.6308965,37.47122309,다사231416,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000000070,장소,문화시설,115012,제일서적,,,90802,일반서점,4.32E+18,충청북도,제천시,중앙로1가,,114-23,4315010600,4315052800,4.32E+11,의림대로,104-1,128.2102865,37.13696014,라사630044,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
